,A_Angle,B_Angle_sign,C_Masker,D_SNR,E_Talker,FG_Static,F_Sentence_ID,G_Sentence,H_Response,I_Input_1,J_Input_2,K_Input_3,L_Input_4,M_Input_5,Correct,Total,Percent
0,-90,-1,137,0,2,FALSE,16-Jan,for DESSERT he HAD APPLE PIE,FOR DESSERT HE HAD APPLE PIE,1,1,1,1,,4,4,1
1,0,-1,103,-6,2,TRUE,25-Feb,the FARMER BALED the HAY,FORD,0,0,0,,,0,3,0
2,0,1,98,0,3,TRUE,9-Jul,a BEAR HAS a THICK COAT of FUR,THE BEAR HAS TAKEN TWICE,1,1,0,0,0,2,5,0.4
3,0,1,11,0,0,FALSE,5-Apr,RAISE the FLAG up the POLE,RAISE THE FLAG UP THE POLE,1,1,1,,,3,3,1
4,-180,-1,69,-3,2,FALSE,18-Mar,the GLASS HAD a CHIP on the RIM,THE LASS HAD A CHIP ,0,1,1,0,,2,4,0.5
5,0,1,195,-6,1,FALSE,13-May,the JUDGE IS SITTING on the BENCH,HER BUSINESS IS FACTS,0,1,0,0,,1,4,0.25
6,-90,-1,26,-6,0,FALSE,5-Feb,WIPE your GREASY HANDS on the RAG,HE PUT THE DISH ON THE RACK,0,0,0,0,,0,4,0
7,0,-1,30,-3,3,TRUE,16-Jun,we SWAM at the BEACH at HIGH TIDE,HE,0,0,0,0,,0,4,0
8,180,1,59,0,3,FALSE,4-May,the AIRPLANE WENT into a DIVE,THE AIRPLANE WENT QUICK INTO A DIVE,1,1,1,,,3,3,1
9,0,1,107,-3,0,FALSE,8-Apr,TREE TRUNKS ARE COVERED with BARK,TREE TOPS ARE SEEN AT THE PARK,1,0,1,0,0,2,5,0.4
10,90,1,67,-3,2,FALSE,13-Aug,the BAD NEWS CAME as a SHOCK,THE BEDROOM WINDOWS WERE CLOSED,0,0,0,0,,0,4,0
11,-180,-1,158,-6,3,FALSE,1-Jul,you CUT the WOOD against the GRAIN,SHE,0,0,0,,,0,3,0
12,0,-1,131,-3,2,FALSE,21-May,the RANCHER ROUNDED UP his HERD,THE RANCH WAS QUIET THAT DAY,0,0,0,0,,0,4,0
13,0,1,28,-6,1,TRUE,19-Feb,the CAR DROVE off the STEEP CLIFF,SHE WAS ISOLATED,0,0,0,0,,0,4,0
14,0,-1,143,-6,3,FALSE,23-Jan,no one WAS INJURED in the CRASH,LONG AGO THERE WAS A GOLD RUCH,1,0,0,,,1,3,0.333333333
15,0,-1,187,0,2,FALSE,7-Mar,the GIRL SWEPT the FLOOR with a BROOM,THE GIRL SWEPT THE FLOOR WITH THE BROOM,1,1,1,1,,4,4,1
16,180,1,18,0,3,FALSE,5-Mar,that ACCIDENT GAVE me a SCARE,THAT ACCIDENT GAVE ME A SCARE,1,1,1,,,3,3,1
17,0,1,97,-3,1,TRUE,16-Feb,the GUESTS WERE WELCOMED by the HOST,MISSES BETRARD TAUGHT HER CLASS WELL,0,0,0,0,,0,4,0
18,90,1,188,-3,1,FALSE,15-Apr,i HAVE GOT a COLD and a SORE THROAT,JUST WHAT WAS THE LINE,0,0,0,0,0,0,5,0
19,0,-1,90,0,2,TRUE,2-Mar,how MUCH CAN I BUY for a DIME,HOW MUCH CAN I BUY FOR A DIME,1,1,1,1,1,5,5,1
20,-90,-1,105,0,2,FALSE,19-Apr,the CABIN WAS MADE of LOGS,THE CABIN WAS MADE OF LOGS,1,1,1,1,,4,4,1
21,-90,-1,60,-6,3,FALSE,7-Jul,the THREAD WAS WOUND on a SPOOL,THE GAME WAS ENDING SOON,0,1,0,0,,1,4,0.25
22,-180,-1,25,-3,1,FALSE,6-Apr,the DETECTIVES SEARCHED for a CLUE,WAS SEARCH THE EARTH AROUND,0,0,0,,,0,3,0
23,180,1,10,-6,1,FALSE,19-Jul,how LONG CAN you HOLD your BREATH,THE FROG WAS ON THE POND THAT DAY,0,0,0,0,,0,4,0
24,90,1,51,0,2,FALSE,12-May,the BOAT SAILED ALONG the COAST,THE BOAT SAILED ALONG THE COAST,1,1,1,1,,4,4,1
25,-180,-1,198,-6,2,FALSE,5-Jun,the SLEEPY CHILD TOOK a NAP,THE SEAMAN SAILED ALONG THE COAST,0,0,0,0,,0,4,0
