,A_Angle,B_Angle_sign,C_Masker,D_SNR,E_Talker,F_Sentence_ID,G_Sentence,H_Response,I_Input_1,J_Input_2,K_Input_3,L_Input_4,M_Input_5,Num Correct,Total,Percent
0,-180,-1,174,-8,3,22-Jan,we ARE LOST so LET us LOOK at the MAP,NO CLUE,0,0,0,0,0,0,5,0
1,0,1,56,-12,2,23-Jun,on the BEACH we PLAY in the SAND,NO CLUE,0,0,0,,,0,3,0
2,-90,-1,78,-4,2,6-Feb,the WEDDING BANQUET WAS a FEAST,NO CLUE,0,0,0,0,,0,4,0
3,0,1,111,-4,2,5-May,the FIREMAN HEARD her FRIGHTENED SCREAM,NO CLUE,0,0,0,0,,0,4,0
4,0,-1,82,-8,1,2-Apr,the WORKERS ARE DIGGING a DITCH,NO CLUE,0,0,0,0,,0,4,0
5,-90,-1,138,-12,1,1-Jan,his PLANS MEANT TAKING a BIG RISK,NO CLUE,0,0,0,0,0,0,5,0
6,-180,-1,19,-12,0,22-Mar,please WIPE your FEET on the MAT,PLEASE WIPE THE MAT,1,0,1,,,2,3,0.666666667
7,90,1,185,-8,1,11-Aug,the SHEPHERD WATCHED his FLOCK of SHEEP,THE SHEPARD WATCHES THE SHEEP,1,1,0,1,,3,4,0.75
8,-90,-1,76,0,0,9-Jul,a BEAR HAS a THICK COAT of FUR,A BEAR HAS A THICK COAT OF FUR,1,1,1,1,1,5,5,1
9,-180,-1,156,-4,0,3-Feb,the NATIVES BUILT a WOODEN HUT,NO CLUE,0,0,0,0,,0,4,0
10,-180,-1,67,0,3,23-May,a CHIMPANZEE IS an APE,THE CHIMPANZEE IS AN APE,1,1,1,,,3,3,1
11,0,-1,85,0,2,15-Mar,the BOY GAVE the FOOTBALL a KICK,THE BOY GAVE THE FOOTBALL A KICK,1,1,1,1,,4,4,1
12,-90,-1,177,-12,3,8-Jul,the CROOK ENTERED a GUILTY PLEA,NO CLUE,0,0,0,0,,0,4,0
13,0,-1,118,-8,3,2-Jun,the DOCTOR CHARGED a LOW FEE,THE DOG IS,0,0,0,0,,0,4,0
14,180,1,94,-8,0,10-Jun,the CANDLE FLAME MELTED the WAX,NO CLUE,0,0,0,0,,0,4,0
15,0,1,160,-4,0,19-Apr,the CABIN WAS MADE of LOGS,THE APPLE WAS MADE OF,0,1,1,0,,2,4,0.5
